Batch,Reward,Loss
247.0,200,0.8234664644369101
248.0,200,1.0147371952842381
249.0,200,1.0141795568155725
250.0,200,1.1801566800542367
251.0,200,1.1194377601083434
252.0,200,1.0532621208708504
253.0,200,0.8930380549710577
254.0,200,1.229124225992751
255.0,200,1.3350061239115893
256.0,199,0.9811095981350866
257.0,200,1.4881084282230586
258.0,200,1.3881977719080019
259.0,200,2.559060439746827
260.0,200,2.3830699976719916
261.0,200,2.2545249462397168
262.0,200,1.155735561534941
263.0,200,0.8894829728810594
264.0,200,0.950946933348248
265.0,200,0.8173815541327903
266.0,200,0.4851357977092266
267.0,200,0.5980632757501942
268.0,186,0.4423296674501387
269.0,200,0.6547135275736456
270.0,200,0.6696142381802201
271.0,200,0.7410460992883413
272.0,200,0.9134910159386121
273.0,200,0.6218233264248272
274.0,200,0.7596520162113789
275.0,200,1.297909766698823
276.0,200,0.5474102695430408
277.0,200,0.7165114323849571
278.0,200,0.7380556411668658
279.0,200,1.7950070269893372
280.0,200,2.0629969426989554
281.0,200,0.8290361533363974
282.0,200,1.2552026950195432
283.0,200,2.0367149735968693
284.0,200,2.5200866148665813
285.0,200,2.6043491527438163
286.0,200,2.2780008535003664
287.0,200,1.0776402475126088
288.0,200,1.6708475679367905
289.0,200,2.096602478204295
290.0,200,2.265020263756092
291.0,200,0.925677426581644
292.0,200,1.0246282943825082
293.0,200,1.303571003433317
294.0,200,0.7308280623720289
295.0,200,1.8085823465511204
296.0,200,2.550593454696535
297.0,200,2.5332972158491613
298.0,200,2.4770083938522807
299.0,200,2.244947002488136
300.0,200,2.1779962321532933
301.0,200,2.3086800652556123
302.0,200,2.1244286365061997
303.0,200,2.144762261919677
304.0,200,2.012158849090338
305.0,200,1.8361989219486714
306.0,200,1.9917329366390522
307.0,200,1.8503594367578626
308.0,200,1.1330078112324913
309.0,200,1.945188591517508
310.0,200,2.335528560867533
311.0,200,2.2089498855732383
312.0,200,2.3026064830832182
313.0,200,2.1686933222040534
314.0,200,2.3010292754881085
315.0,200,2.151122917579568
316.0,200,2.325751158691357
317.0,200,2.3638662203773855
318.0,200,2.425858334052609
319.0,200,0.6406519063170503
320.0,193,0.8952597468773075
321.0,200,2.0483716073943845
322.0,200,1.1150273222476244
323.0,200,2.555124210007489
324.0,200,2.441648010937497
325.0,200,2.38002441954551
326.0,200,2.4134570344310897
327.0,200,1.8525880807451904
328.0,200,2.4787755412328987
329.0,200,2.4480756653704754
330.0,200,2.1989370698414517
331.0,200,2.2973132022470235
332.0,200,2.3319194113276898
333.0,200,2.500513129970059
334.0,200,2.3596831177547575
335.0,200,2.4520848880060147
336.0,200,2.332869257945567
337.0,200,2.474347485549727
338.0,200,2.449290154725313
339.0,200,2.4325023583788425
340.0,200,2.511822064621374
341.0,200,2.439943611961789
342.0,200,2.075085233573859
343.0,200,2.2194775602855765
344.0,200,2.3773262739507484
345.0,200,1.8040385077266872
346.0,200,1.3022318925139003
347.0,200,0.5029502774449051
348.0,200,0.37561024495287115
349.0,24,0.5429362472954882
350.0,200,1.057498443145305
351.0,200,2.1014743726328016
352.0,200,0.9480974738035924
353.0,200,0.5813750939401844
354.0,200,1.3573634424246848
355.0,200,2.268952698976249
356.0,200,2.152605284345336
357.0,200,2.5453494706843047
358.0,200,2.2885914913862355
359.0,200,2.505435078172013
360.0,57,2.537971775993427
361.0,200,2.3764128274656833
362.0,200,2.4217477829383753
363.0,200,2.268468135523094
364.0,200,2.4698055770043883
365.0,200,2.291035339888185
366.0,200,2.4089061168328154
367.0,200,0.5894870020076632
368.0,200,0.5197904312238097
369.0,200,0.5605117848515511
370.0,200,0.4040799306705594
371.0,200,0.5099696886911989
372.0,200,0.5116445233672857
373.0,200,0.7220782241038978
374.0,200,0.45400776352733374
375.0,200,0.38041274398565295
376.0,200,0.8390926440618932
377.0,200,0.8277631771937013
378.0,200,0.3714251474425409
379.0,200,0.44662956196814774
380.0,200,0.41683604195713997
